,id,full_text,created_at,favorite_count,retweet_count
57,1442146441993064449,"If you don’t qualify for the booster, or you got the Moderna and Johnson &amp; Johnson vaccines: if you’re fully vaccinated, you’re highly protected from severe illness even if you get COVID-19. https://t.co/1FbMCy9san",Sun Sep 26 15:18:00 +0000 2021,10081,1599
58,1441939328939302912,"Climate change is all around us. From hurricanes and unprecedented flooding to historic wildfires, we’ve seen its effects firsthand all summer. 

We have a chance to stop climate change’s worst effects, but we have to act right now. We must pass our Build Back Better Agenda.",Sun Sep 26 01:35:00 +0000 2021,18773,2910
59,1441899064556204033,"We’ve made so much progress during the past eight months of this pandemic, and now we face a critical moment. We have the tools and we have the plan—we just have to finish the job together as one nation. 

Please, get vaccinated.",Sat Sep 25 22:55:00 +0000 2021,30048,4080
60,1441871636731293701,"While typical working Americans pay their taxes, the top 1% evade an estimated $160 billion in taxes each year.
 
It’s wrong—and it’s past time the ultra-wealthy and corporations paid their fair share.",Sat Sep 25 21:06:01 +0000 2021,35976,5615
61,1441848758321438723,The majority of Americans who were fully vaccinated with the Pfizer vaccine are now eligible to receive a booster shot six months after they've received their second shot. https://t.co/6vVAhppz8u,Sat Sep 25 19:35:06 +0000 2021,11505,1736
62,1441803436291416069,"For too long, our economy has worked great for those at the top, while the hardworking people who built this country have been cut out of the deal. Our Build Back Better Agenda will deal working people back in.",Sat Sep 25 16:35:01 +0000 2021,23704,3331
63,1441542463613718528,"Folks, we’re facing an urgent choice: do we keep an economy that serves the wealthiest and biggest corporations—or finally give middle class families a fair shot?

Our Build Back Better agenda is our moment to prove to the American people that their government works for them.",Fri Sep 24 23:18:00 +0000 2021,33595,4838
64,1441532146082934785,RT @POTUS: The majority of Americans who were fully vaccinated with Pfizer can receive a booster shot at least 6 months after their second…,Fri Sep 24 22:37:00 +0000 2021,0,4325
65,1441125220916420611,The Bipartisan Infrastructure Deal is a blue-collar blueprint to rebuild America that will help make our historic economic recovery a historic long-term boom.,Thu Sep 23 19:40:02 +0000 2021,18915,2666
66,1441068624048017410,"Our Build Back Better Agenda will bring down the everyday costs that have for years been taking a bigger and bigger bite out of middle-class families’ incomes: health care, prescription drug costs, child care, education, housing, or caring for an elderly relative or loved one.",Thu Sep 23 15:55:08 +0000 2021,15591,2305
67,1440816012719312899,"RT @POTUS: As we fight COVID-19 here at home, we need to continue our efforts overseas. That’s why today, I announced we’re increasing our…",Wed Sep 22 23:11:21 +0000 2021,0,3743
68,1440683552753033216,"We stand at an inflection point in history. The United States intends to work with partners and allies to answer these questions and help lead the world toward a more peaceful, prosperous future for all people. https://t.co/3JYwybRezw",Wed Sep 22 14:25:00 +0000 2021,10787,1445
69,1440481472855494657,"As we pursue diplomacy across the board, the U.S. will champion the democratic values that go to the very heart of who we are as a nation and a people—freedom, equality, opportunity, and a belief in the universal rights of all people. 

It's stamped into our DNA as a nation.",Wed Sep 22 01:02:00 +0000 2021,15542,1958
70,1440453789090152458,"For the first time in 20 years, the United States is not at war. We’ve turned the page.

All the unmatched strength, energy, commitment, will, and resources of our nation are now fully and squarely focused on what’s ahead of us, not what was behind. https://t.co/4n3HlIiUlY",Tue Sep 21 23:12:00 +0000 2021,17827,2641
71,1440428877822660608,"As we recover from this crisis, we must put in place a long-term plan to increase opportunities with better jobs and higher wages; a plan that will lower the everyday costs that strain our budgets and our nation’s families.

Our Build Back Better Agenda will get it done.",Tue Sep 21 21:33:01 +0000 2021,11206,1576
72,1440382817322475521,"RT @POTUS: It was an honor to address the UN General Assembly this morning. We stand at an inflection point in history, and the United Stat…",Tue Sep 21 18:29:59 +0000 2021,0,3087
73,1440377300948643841,"The evidence is clear: climate change poses an existential threat. If we don't stay below 1.5°C of global temperature rise, we're in deep trouble.  

We need to build back better by investing in clean energy, cutting emissions, and fighting climate change head on.",Tue Sep 21 18:08:04 +0000 2021,27492,3866
74,1440120847142895624,"This summer alone, over 100 million Americans and the communities they call home have been affected by extreme weather.  

We can’t just rebuild, we have to build back better. We have to invest in climate resilience to protect our communities and work to cut carbon emissions.",Tue Sep 21 01:09:00 +0000 2021,17679,2287
75,1440012312480452613,"RT @POTUS: We have the tools to put this pandemic behind us, but we all have to do our part. If you haven’t yet, please get vaccinated. And…",Mon Sep 20 17:57:44 +0000 2021,0,8274
76,1439975893250740225,"Our Build Back Better Agenda will invest in working families by cutting taxes, lowering prescription drug prices and health care costs, and reducing the cost of child care. 

We’ll build our economy from the bottom up and middle out.",Mon Sep 20 15:33:01 +0000 2021,17425,2561
77,1439607728016609286,"Past presidents have cut taxes for the wealthy and biggest corporations with the promise of economic growth.

It doesn't work.

The ultra-wealthy and corporations must pay their fair share—which will lower costs for the middle class.",Sun Sep 19 15:10:03 +0000 2021,54297,8030
78,1439266438997553155,"Our Build Back Better Agenda is a historic investment in middle-class families. It will be paid for by reforming the tax code to make sure the wealthiest Americans and largest corporations pay their fair share.

No one earning under $400,000 will pay a penny more in taxes.",Sat Sep 18 16:33:53 +0000 2021,21302,3149
79,1439228469028794368,Virtually all of the COVID deaths and hospitalizations are from unvaccinated people. Get your shot.,Sat Sep 18 14:03:01 +0000 2021,46340,6487
80,1438987881545076738,"We can build an economy that gives working people a fair shot. 
We can restore some sanity and fairness to our tax code. 
We can make the investments that we know are long overdue in this nation. 

That's exactly what my Bipartisan Infrastructure Plan does.",Fri Sep 17 22:07:00 +0000 2021,15651,2144
81,1438944345881812999,"Our Build Back Better agenda takes on the existential threat of climate change directly by investing in clean energy, creating good-paying, union jobs, and working to stop the climate crisis’s most disastrous impacts on working families.",Fri Sep 17 19:14:01 +0000 2021,13141,1814
82,1438891499463262222,"Big corporations and the super wealthy have to start paying their fair share of taxes. It’s long overdue. 

I'm not out to punish anyone. All I'm asking is that you pay your fair share—just like middle-class folks do.",Fri Sep 17 15:44:01 +0000 2021,43612,5828
83,1438860239063945216,"RT @POTUS: Immigrants come to America from different circumstances, but every generation has made us stronger. This Citizenship Day serves…",Fri Sep 17 13:39:48 +0000 2021,0,3655
84,1438678843213037570,"When big corporations and the wealthy pay their fair share, we are able to invest in America. https://t.co/b2U1BgSdjP",Fri Sep 17 01:39:00 +0000 2021,12194,1679
85,1438649149738700809,"Republican governors in states like Texas and Florida are doing everything they can to undermine the public health requirements that keep people safe.

They're playing politics with the lives of their citizens, especially children. I refuse to give in to it.",Thu Sep 16 23:41:00 +0000 2021,35604,6124
86,1438620810491613187,"This is our moment to prove to the American people that their government works for them, not just for the big corporations and those at the very top. https://t.co/Ie9keqGYqk",Thu Sep 16 21:48:24 +0000 2021,11533,1871
87,1438535418841116676,"The Build Back Better Agenda will lower the costs of:
✅ Child care
✅ Higher education
✅ Prescription drugs
✅ Health care
✅ Housing

And we’ll do it by making the wealthiest and large corporations pay their fair share.",Thu Sep 16 16:09:05 +0000 2021,15715,2296
88,1438223300489056261,"Congratulations Governor @GavinNewsom on defeating the recall. This vote is a resounding win for the approach that he and I share to beating the pandemic: strong vaccine requirements, steps to reopen schools safely, and plans to help those who get sick.",Wed Sep 15 19:28:50 +0000 2021,69790,6866
89,1437883965168312322,"California, the eyes of the nation are on you. Vote NO on the recall before polls close at 8pm to keep @GavinNewsom as governor and keep moving our country forward. https://t.co/uV4UbFsSBF",Tue Sep 14 21:00:26 +0000 2021,13578,2429
90,1437842363678957584,"California, Election Day is today. On behalf of people all across America, don’t take anything for granted. If you want to vote in person, make sure you know where you’re going to vote. If you’ve already voted, make sure your family and friends are voting. Vote no on the recall. https://t.co/Y9DFAZej6S",Tue Sep 14 18:15:07 +0000 2021,16023,2816
91,1437816410659430402,"California, vote to keep @GavinNewsom your governor. The rest of America is counting on you, and so am I. https://t.co/mYnR2isUjI",Tue Sep 14 16:32:00 +0000 2021,15991,2807
92,1437766739627057159,"California, today is Election Day. We’re counting on you to vote NO on the recall to keep @GavinNewsom in office and California moving forward.

Polls are open until 8pm. Make your voice heard.",Tue Sep 14 13:14:37 +0000 2021,39153,6858
93,1437603766790918146,Tomorrow's Election Day—so I’m here with @GavinNewsom to ask Californians to vote no on the recall. Help protect the progress we’ve made. https://t.co/GDWCT1Z4zZ,Tue Sep 14 02:27:02 +0000 2021,16122,3247
